time:0.27127623558044434, Total Loss:5.861077785491943, Segmentation Loss:0.341858834028244, Discriminative Loss:5.519218921661377
time:0.23537135124206543, Total Loss:4.29163932800293, Segmentation Loss:0.3925643265247345, Discriminative Loss:3.8990747928619385
time:0.28623414039611816, Total Loss:2.7938623428344727, Segmentation Loss:0.23760873079299927, Discriminative Loss:2.556253671646118
time:0.26329779624938965, Total Loss:2.6495931148529053, Segmentation Loss:0.21253487467765808, Discriminative Loss:2.437058210372925
time:0.23337721824645996, Total Loss:0.7547063827514648, Segmentation Loss:0.2222651094198227, Discriminative Loss:0.532441258430481
time:0.3061819076538086, Total Loss:0.8916177749633789, Segmentation Loss:0.260921835899353, Discriminative Loss:0.6306959390640259
time:0.28025150299072266, Total Loss:1.0408341884613037, Segmentation Loss:0.17329473793506622, Discriminative Loss:0.8675394654273987
time:0.2343730926513672, Total Loss:0.7528629899024963, Segmentation Loss:0.2070905715227127, Discriminative Loss:0.5457724332809448
time:0.27227258682250977, Total Loss:0.8695393204689026, Segmentation Loss:0.16834576427936554, Discriminative Loss:0.7011935710906982
time:0.26628684997558594, Total Loss:0.5052272081375122, Segmentation Loss:0.1528436690568924, Discriminative Loss:0.352383553981781
time:0.23337626457214355, Total Loss:0.6277726292610168, Segmentation Loss:0.1385844349861145, Discriminative Loss:0.48918819427490234
time:0.28822922706604004, Total Loss:0.6491698026657104, Segmentation Loss:0.1289052516222, Discriminative Loss:0.5202645659446716
time:0.2792515754699707, Total Loss:1.5263252258300781, Segmentation Loss:0.1468568742275238, Discriminative Loss:1.379468321800232
time:0.2453453540802002, Total Loss:0.6738543510437012, Segmentation Loss:0.17357896268367767, Discriminative Loss:0.5002753734588623
Epoch:0, Total Loss:562.58203125, Segmentation Loss:76.92353057861328, Discriminative Loss:485.6586608886719
time:0.28523755073547363, Total Loss:0.3943081796169281, Segmentation Loss:0.10933218151330948, Discriminative Loss:0.2849760055541992
time:0.2720789909362793, Total Loss:0.2023751139640808, Segmentation Loss:0.10607440769672394, Discriminative Loss:0.09630070626735687
time:0.23437261581420898, Total Loss:0.18347641825675964, Segmentation Loss:0.10328913480043411, Discriminative Loss:0.08018729090690613
time:0.28623390197753906, Total Loss:0.21010839939117432, Segmentation Loss:0.09180857241153717, Discriminative Loss:0.11829982697963715
time:0.2782564163208008, Total Loss:0.1735413670539856, Segmentation Loss:0.07102976739406586, Discriminative Loss:0.10251159220933914
time:0.2323765754699707, Total Loss:0.4396857023239136, Segmentation Loss:0.09690873324871063, Discriminative Loss:0.34277698397636414
time:0.27725887298583984, Total Loss:0.10936510562896729, Segmentation Loss:0.06940128654241562, Discriminative Loss:0.039963819086551666
time:0.26329541206359863, Total Loss:0.16785785555839539, Segmentation Loss:0.09823409467935562, Discriminative Loss:0.06962376832962036
time:0.24235081672668457, Total Loss:0.12219366431236267, Segmentation Loss:0.07515022903680801, Discriminative Loss:0.04704343527555466
time:0.28324246406555176, Total Loss:0.1413392871618271, Segmentation Loss:0.09342356026172638, Discriminative Loss:0.047915730625391006
time:0.2672858238220215, Total Loss:0.11534306406974792, Segmentation Loss:0.06076771020889282, Discriminative Loss:0.0545753538608551
time:0.23836350440979004, Total Loss:0.12776683270931244, Segmentation Loss:0.07072101533412933, Discriminative Loss:0.057045817375183105
time:0.27725911140441895, Total Loss:0.0959601104259491, Segmentation Loss:0.06182301789522171, Discriminative Loss:0.03413708880543709
time:0.26628780364990234, Total Loss:0.13323676586151123, Segmentation Loss:0.09839864075183868, Discriminative Loss:0.034838125109672546
Epoch:1, Total Loss:64.01367950439453, Segmentation Loss:24.682086944580078, Discriminative Loss:39.33158874511719
time:0.25482702255249023, Total Loss:0.13573168218135834, Segmentation Loss:0.06583531200885773, Discriminative Loss:0.06989637017250061
time:0.2932167053222656, Total Loss:0.15116938948631287, Segmentation Loss:0.08136554807424545, Discriminative Loss:0.06980383396148682
time:0.27725958824157715, Total Loss:0.4610617756843567, Segmentation Loss:0.07182585448026657, Discriminative Loss:0.3892359137535095
time:0.24235010147094727, Total Loss:0.1326502114534378, Segmentation Loss:0.07168645411729813, Discriminative Loss:0.06096375733613968
time:0.2842400074005127, Total Loss:0.16221463680267334, Segmentation Loss:0.06007685512304306, Discriminative Loss:0.10213777422904968
time:0.28523755073547363, Total Loss:0.1204761490225792, Segmentation Loss:0.0640164241194725, Discriminative Loss:0.05645972490310669
time:0.2453441619873047, Total Loss:0.10749749094247818, Segmentation Loss:0.0601598396897316, Discriminative Loss:0.04733765125274658
time:0.2952125072479248, Total Loss:0.19558867812156677, Segmentation Loss:0.07902546226978302, Discriminative Loss:0.11656320840120316
time:0.2672853469848633, Total Loss:0.09463831037282944, Segmentation Loss:0.06915020942687988, Discriminative Loss:0.025488099083304405
time:0.24235200881958008, Total Loss:0.08763245493173599, Segmentation Loss:0.05169697105884552, Discriminative Loss:0.03593548387289047
time:0.2842402458190918, Total Loss:0.08797495067119598, Segmentation Loss:0.06033852696418762, Discriminative Loss:0.02763642743229866
time:0.26628589630126953, Total Loss:0.10278496891260147, Segmentation Loss:0.059893809258937836, Discriminative Loss:0.042891159653663635
time:0.2403576374053955, Total Loss:0.09189632534980774, Segmentation Loss:0.0449523851275444, Discriminative Loss:0.046943943947553635
time:0.28623533248901367, Total Loss:0.1139732226729393, Segmentation Loss:0.07488662749528885, Discriminative Loss:0.03908659517765045
Epoch:2, Total Loss:52.71272659301758, Segmentation Loss:18.120969772338867, Discriminative Loss:34.59177017211914
time:0.27526354789733887, Total Loss:0.10589799284934998, Segmentation Loss:0.08257787674665451, Discriminative Loss:0.023320114240050316
time:0.2373647689819336, Total Loss:0.12076428532600403, Segmentation Loss:0.05390169471502304, Discriminative Loss:0.06686259061098099
time:0.28523755073547363, Total Loss:0.07976855337619781, Segmentation Loss:0.05281432345509529, Discriminative Loss:0.026954229921102524
