time:0.1826004981994629, Total Loss:6.100305080413818, Segmentation Loss:0.390714555978775, Discriminative Loss:5.709590435028076
time:0.1806502342224121, Total Loss:1.236365795135498, Segmentation Loss:0.1918271780014038, Discriminative Loss:1.0445386171340942
time:0.1852879524230957, Total Loss:2.0141420364379883, Segmentation Loss:0.28979194164276123, Discriminative Loss:1.7243499755859375
time:0.17500996589660645, Total Loss:0.45937785506248474, Segmentation Loss:0.1701822578907013, Discriminative Loss:0.28919559717178345
time:0.17273664474487305, Total Loss:0.5842653512954712, Segmentation Loss:0.15352220833301544, Discriminative Loss:0.43074315786361694
time:0.1852419376373291, Total Loss:0.4021044373512268, Segmentation Loss:0.1567441076040268, Discriminative Loss:0.24536031484603882
Epoch:0, Total Loss:352.5393371582031, Segmentation Loss:47.55589294433594, Discriminative Loss:304.9833679199219
time:0.17904925346374512, Total Loss:0.33308175206184387, Segmentation Loss:0.11978195607662201, Discriminative Loss:0.21329979598522186
time:0.1727762222290039, Total Loss:0.22916126251220703, Segmentation Loss:0.10244927555322647, Discriminative Loss:0.12671199440956116
time:0.17838311195373535, Total Loss:0.2773278057575226, Segmentation Loss:0.08890227973461151, Discriminative Loss:0.18842552602291107
time:0.19144868850708008, Total Loss:0.5050132870674133, Segmentation Loss:0.11750748008489609, Discriminative Loss:0.38750582933425903
time:0.17443203926086426, Total Loss:0.35515937209129333, Segmentation Loss:0.0977623388171196, Discriminative Loss:0.25739702582359314
time:0.1821887493133545, Total Loss:0.1929762214422226, Segmentation Loss:0.07725764065980911, Discriminative Loss:0.11571858078241348
Epoch:1, Total Loss:45.8397331237793, Segmentation Loss:14.638505935668945, Discriminative Loss:31.201200485229492
time:0.17766356468200684, Total Loss:0.15885867178440094, Segmentation Loss:0.06838802248239517, Discriminative Loss:0.09047064930200577
time:0.16929101943969727, Total Loss:0.1689886450767517, Segmentation Loss:0.06546615809202194, Discriminative Loss:0.10352249443531036
time:0.18101239204406738, Total Loss:0.18547417223453522, Segmentation Loss:0.08072363585233688, Discriminative Loss:0.10475053638219833
time:0.17154693603515625, Total Loss:0.10379965603351593, Segmentation Loss:0.05791473016142845, Discriminative Loss:0.04588492959737778
time:0.18129897117614746, Total Loss:0.1701020896434784, Segmentation Loss:0.06610728800296783, Discriminative Loss:0.10399480164051056
time:0.17893648147583008, Total Loss:0.12762311100959778, Segmentation Loss:0.07418382167816162, Discriminative Loss:0.05343928188085556
Epoch:2, Total Loss:23.892240524291992, Segmentation Loss:9.883607864379883, Discriminative Loss:14.008641242980957
time:0.18370962142944336, Total Loss:0.10371030867099762, Segmentation Loss:0.059538621455430984, Discriminative Loss:0.044171687215566635
time:0.17443466186523438, Total Loss:0.11783847212791443, Segmentation Loss:0.05007553473114967, Discriminative Loss:0.06776293367147446
time:0.18574881553649902, Total Loss:0.13197389245033264, Segmentation Loss:0.05962388217449188, Discriminative Loss:0.07235000282526016
time:0.17859530448913574, Total Loss:0.19795551896095276, Segmentation Loss:0.061077315360307693, Discriminative Loss:0.13687820732593536
time:0.1900806427001953, Total Loss:0.25581446290016174, Segmentation Loss:0.06110019609332085, Discriminative Loss:0.1947142630815506
time:0.17934489250183105, Total Loss:0.08157754689455032, Segmentation Loss:0.05025728419423103, Discriminative Loss:0.03132026270031929
Epoch:3, Total Loss:16.344661712646484, Segmentation Loss:8.054774284362793, Discriminative Loss:8.289886474609375
time:0.17702126502990723, Total Loss:0.09225749969482422, Segmentation Loss:0.06095616891980171, Discriminative Loss:0.03130133077502251
time:0.17246294021606445, Total Loss:0.0789775401353836, Segmentation Loss:0.04935980588197708, Discriminative Loss:0.029617737978696823
time:0.17721247673034668, Total Loss:0.14236076176166534, Segmentation Loss:0.061984870582818985, Discriminative Loss:0.08037589490413666
time:0.1761014461517334, Total Loss:0.1711922138929367, Segmentation Loss:0.044890355318784714, Discriminative Loss:0.1263018548488617
time:0.17978239059448242, Total Loss:0.06499955803155899, Segmentation Loss:0.04680796340107918, Discriminative Loss:0.018191596493124962
time:0.18187904357910156, Total Loss:0.0699562132358551, Segmentation Loss:0.04308284446597099, Discriminative Loss:0.02687336876988411
Epoch:4, Total Loss:13.008578300476074, Segmentation Loss:6.984324932098389, Discriminative Loss:6.024256229400635
time:0.17042040824890137, Total Loss:0.09234502911567688, Segmentation Loss:0.048380181193351746, Discriminative Loss:0.043964847922325134
time:0.18718791007995605, Total Loss:0.09124866873025894, Segmentation Loss:0.05399959534406662, Discriminative Loss:0.03724907338619232
time:0.17827415466308594, Total Loss:0.09656547755002975, Segmentation Loss:0.05003182962536812, Discriminative Loss:0.046533647924661636
time:0.1801455020904541, Total Loss:0.10792785882949829, Segmentation Loss:0.0521174855530262, Discriminative Loss:0.05581037700176239
time:0.1750788688659668, Total Loss:0.06942564249038696, Segmentation Loss:0.04054670035839081, Discriminative Loss:0.028878938406705856
time:0.18151116371154785, Total Loss:0.09354415535926819, Segmentation Loss:0.0596148855984211, Discriminative Loss:0.03392927348613739
Epoch:5, Total Loss:11.083745002746582, Segmentation Loss:6.466931343078613, Discriminative Loss:4.616815567016602
time:0.1723167896270752, Total Loss:0.05994608253240585, Segmentation Loss:0.0423913300037384, Discriminative Loss:0.0175547543913126
time:0.18387365341186523, Total Loss:0.058480404317379, Segmentation Loss:0.03778383880853653, Discriminative Loss:0.02069656364619732
time:0.17805981636047363, Total Loss:0.07464942336082458, Segmentation Loss:0.04621268808841705, Discriminative Loss:0.02843673899769783
time:0.18169760704040527, Total Loss:0.0652637705206871, Segmentation Loss:0.0442408062517643, Discriminative Loss:0.021022962406277657
time:0.1863400936126709, Total Loss:0.07658274471759796, Segmentation Loss:0.05551924556493759, Discriminative Loss:0.02106349915266037
time:0.18981504440307617, Total Loss:0.07812003791332245, Segmentation Loss:0.05023575574159622, Discriminative Loss:0.02788427844643593
Epoch:6, Total Loss:9.908873558044434, Segmentation Loss:6.106925010681152, Discriminative Loss:3.801948070526123
time:0.18324565887451172, Total Loss:0.05661153793334961, Segmentation Loss:0.04077959060668945, Discriminative Loss:0.015831945464015007
time:0.18730425834655762, Total Loss:0.07160826027393341, Segmentation Loss:0.04765760898590088, Discriminative Loss:0.023950651288032532
time:0.1768786907196045, Total Loss:0.04942857474088669, Segmentation Loss:0.03588033840060234, Discriminative Loss:0.013548236340284348
time:0.18677115440368652, Total Loss:0.09406612813472748, Segmentation Loss:0.04756837338209152, Discriminative Loss:0.046497754752635956
time:0.18495941162109375, Total Loss:0.07922425866127014, Segmentation Loss:0.05618719756603241, Discriminative Loss:0.02303706482052803
time:0.18560266494750977, Total Loss:0.08446955680847168, Segmentation Loss:0.05514277517795563, Discriminative Loss:0.029326781630516052
Epoch:7, Total Loss:16.01081085205078, Segmentation Loss:6.389632701873779, Discriminative Loss:9.621179580688477
time:0.1776881217956543, Total Loss:0.17080093920230865, Segmentation Loss:0.07306331396102905, Discriminative Loss:0.0977376252412796
time:0.18012213706970215, Total Loss:0.06408876180648804, Segmentation Loss:0.041597433388233185, Discriminative Loss:0.022491326555609703
time:0.18076252937316895, Total Loss:0.09480095654726028, Segmentation Loss:0.046088747680187225, Discriminative Loss:0.04871220886707306
time:0.17404484748840332, Total Loss:0.08953198790550232, Segmentation Loss:0.040331900119781494, Discriminative Loss:0.049200087785720825
time:0.1775975227355957, Total Loss:0.06453031301498413, Segmentation Loss:0.045388802886009216, Discriminative Loss:0.019141510128974915
time:0.16858768463134766, Total Loss:0.17892910540103912, Segmentation Loss:0.04548593983054161, Discriminative Loss:0.13344316184520721
Epoch:8, Total Loss:14.355231285095215, Segmentation Loss:6.369734287261963, Discriminative Loss:7.9854936599731445
time:0.1759026050567627, Total Loss:0.05803687125444412, Segmentation Loss:0.042058784514665604, Discriminative Loss:0.01597808673977852
time:0.16658473014831543, Total Loss:0.08445625007152557, Segmentation Loss:0.031944602727890015, Discriminative Loss:0.05251164734363556
time:0.18132925033569336, Total Loss:0.10680954158306122, Segmentation Loss:0.04413104057312012, Discriminative Loss:0.0626785010099411
time:0.18348336219787598, Total Loss:0.07568711042404175, Segmentation Loss:0.043140918016433716, Discriminative Loss:0.03254619613289833
time:0.1718001365661621, Total Loss:0.06437472254037857, Segmentation Loss:0.03684451803565025, Discriminative Loss:0.027530204504728317
time:0.17563533782958984, Total Loss:0.057482097297906876, Segmentation Loss:0.04317229986190796, Discriminative Loss:0.014309797435998917
Epoch:9, Total Loss:13.08409595489502, Segmentation Loss:5.974914073944092, Discriminative Loss:7.109184741973877
time:0.18477821350097656, Total Loss:0.06549680233001709, Segmentation Loss:0.046895723789930344, Discriminative Loss:0.018601082265377045
time:0.17851853370666504, Total Loss:0.05004120618104935, Segmentation Loss:0.03662345930933952, Discriminative Loss:0.013417748734354973
time:0.17610573768615723, Total Loss:0.06729381531476974, Segmentation Loss:0.03542114049196243, Discriminative Loss:0.03187267482280731
time:0.17842984199523926, Total Loss:0.0543370358645916, Segmentation Loss:0.03838186711072922, Discriminative Loss:0.01595516875386238
time:0.1772606372833252, Total Loss:0.05926887318491936, Segmentation Loss:0.03966035693883896, Discriminative Loss:0.0196085162460804
time:0.17390179634094238, Total Loss:0.048857901245355606, Segmentation Loss:0.034271154552698135, Discriminative Loss:0.014586745761334896
Epoch:10, Total Loss:8.650444030761719, Segmentation Loss:5.595122814178467, Discriminative Loss:3.055324077606201
time:0.18307781219482422, Total Loss:0.060752321034669876, Segmentation Loss:0.036837704479694366, Discriminative Loss:0.02391461655497551
time:0.1773972511291504, Total Loss:0.05750521272420883, Segmentation Loss:0.04185914993286133, Discriminative Loss:0.015646062791347504
time:0.1805264949798584, Total Loss:0.05177964270114899, Segmentation Loss:0.036270368844270706, Discriminative Loss:0.01550927571952343
time:0.18457412719726562, Total Loss:0.05998167395591736, Segmentation Loss:0.03907373175024986, Discriminative Loss:0.020907944068312645
time:0.17837238311767578, Total Loss:0.0527368038892746, Segmentation Loss:0.03565621003508568, Discriminative Loss:0.01708059571683407
time:0.17464065551757812, Total Loss:0.06269567459821701, Segmentation Loss:0.047837033867836, Discriminative Loss:0.014858638867735863
Epoch:11, Total Loss:7.849390983581543, Segmentation Loss:5.285884380340576, Discriminative Loss:2.5635061264038086
time:0.17896199226379395, Total Loss:0.1414388120174408, Segmentation Loss:0.033582527190446854, Discriminative Loss:0.10785628110170364
time:0.17883729934692383, Total Loss:0.04956607520580292, Segmentation Loss:0.03737993538379669, Discriminative Loss:0.0121861407533288
time:0.18013620376586914, Total Loss:0.047364480793476105, Segmentation Loss:0.03739902749657631, Discriminative Loss:0.009965455159544945
time:0.17885065078735352, Total Loss:0.05206203833222389, Segmentation Loss:0.03923717886209488, Discriminative Loss:0.012824858538806438
time:0.18528223037719727, Total Loss:0.06335054337978363, Segmentation Loss:0.04996347799897194, Discriminative Loss:0.013387061655521393
time:0.17848634719848633, Total Loss:0.047881290316581726, Segmentation Loss:0.03803836554288864, Discriminative Loss:0.009842924773693085
Epoch:12, Total Loss:7.393481254577637, Segmentation Loss:5.127570629119873, Discriminative Loss:2.2659122943878174
time:0.18276309967041016, Total Loss:0.051262833178043365, Segmentation Loss:0.03593076393008232, Discriminative Loss:0.015332069247961044
time:0.1807715892791748, Total Loss:0.06913665682077408, Segmentation Loss:0.03565146401524544, Discriminative Loss:0.03348519280552864
time:0.18262124061584473, Total Loss:0.048279911279678345, Segmentation Loss:0.03594084084033966, Discriminative Loss:0.012339068576693535
time:0.17925620079040527, Total Loss:0.06036963686347008, Segmentation Loss:0.04252209886908531, Discriminative Loss:0.017847537994384766
time:0.17463946342468262, Total Loss:0.048288751393556595, Segmentation Loss:0.03751561790704727, Discriminative Loss:0.010773134417831898
time:0.17157983779907227, Total Loss:0.04168969765305519, Segmentation Loss:0.03145191818475723, Discriminative Loss:0.010237779468297958
Epoch:13, Total Loss:6.6513543128967285, Segmentation Loss:4.91795539855957, Discriminative Loss:1.7333965301513672
time:0.16561150550842285, Total Loss:0.03819839283823967, Segmentation Loss:0.028712108731269836, Discriminative Loss:0.009486283175647259
time:0.17966222763061523, Total Loss:0.04798709601163864, Segmentation Loss:0.038677893579006195, Discriminative Loss:0.009309204295277596
time:0.1782073974609375, Total Loss:0.04671251401305199, Segmentation Loss:0.03553792089223862, Discriminative Loss:0.011174594052135944
time:0.176102876663208, Total Loss:0.04798414930701256, Segmentation Loss:0.036196716129779816, Discriminative Loss:0.011787433177232742
time:0.17030882835388184, Total Loss:0.047950379550457, Segmentation Loss:0.036112211644649506, Discriminative Loss:0.011838169768452644
